locus_id	isoform	p-value-1	p-value-2	p-value_lowest
SNOO_448180	SNOO_448180A_1	0.2447552447552438	0.3729603729603725	0.2447552447552438
SNOO_066110	SNOO_066110A_1	0.2447552447552438	0.3496503496503492	0.2447552447552438
SNOO_428590	SNOO_428590A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_028170	SNOO_028170A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_022590	SNOO_022590A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_516330	SNOO_516330_1	0.2447552447552455	0.1598401598401601	0.1598401598401601
SNOO_122750	SNOO_122750A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_435160	SNOO_435160A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_081730	SNOO_081730A_1	0.2447552447552438	0.3729603729603725	0.2447552447552438
SNOO_300120	SNOO_300120A_1	0.3671328671328668	0.2797202797202817	0.2797202797202817
SNOO_133830	SNOO_133830A_1	0.4405594405594418	0.4195804195804207	0.4195804195804207
SNOO_000630	SNOO_000630A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_539550	SNOO_539550_1	0.1839397205857208	0.1576626176449043	0.1576626176449043
SNOO_115450	SNOO_115450AB_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_406120	SNOO_406120A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_008810	SNOO_008810A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_135540	SNOO_135540A_1	0.2447552447552438	0.3729603729603725	0.2447552447552438
SNOO_505840	SNOO_505840_1	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_028390	SNOO_028390A_1	0.4079254079254084	0.3729603729603725	0.3729603729603725
SNOO_428520	SNOO_428520A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_506450	SNOO_506450_1	0.4038461538461552	0.0565968371032989	0.0565968371032989
SNOO_058270	SNOO_058270A_1	0.3671328671328668	0.2797202797202817	0.2797202797202817
SNOO_091190	SNOO_091190A_1	0.4038461538461552	0.4615384615384615	0.4038461538461552
SNOO_140810	SNOO_140810A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_500870	SNOO_500870_1	0.1839397205857208	0.1576626176449043	0.1576626176449043
SNOO_126420	SNOO_126420A_1	0.3569347319347336	0.4079254079254055	0.3569347319347336
SNOO_126420	SNOO_126420A_2	0.4079254079254084	0.3729603729603725	0.3729603729603725
SNOO_432850	SNOO_432850A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_046170	SNOO_046170A_2	0.0489510489510486	0.1398601398601395	0.0489510489510486
SNOO_120260	SNOO_120260A_1	0.0848952556549486	0.5274725274725256	0.0848952556549486
SNOO_139980	SNOO_139980A_1	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_139980	SNOO_139980A_2	0.4079254079254084	0.3729603729603725	0.3729603729603725
SNOO_417480	SNOO_417480A_1	0.2447552447552455	0.3356643356643369	0.2447552447552455
SNOO_574300	SNOO_574300_1	0.2447552447552438	0.3496503496503492	0.2447552447552438
SNOO_574300	SNOO_574300_2	0.2447552447552438	0.3496503496503492	0.2447552447552438
SNOO_046590	SNOO_046590A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_084940	SNOO_084940A_1	0.3569347319347336	0.4079254079254055	0.3569347319347336
SNOO_416010	SNOO_416010A_1	0.2447552447552455	0.0257258350469542	0.0257258350469542
SNOO_048140	SNOO_048140A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
SNOO_076690	SNOO_076690A_1	0.4405594405594418	0.4195804195804207	0.4195804195804207
SNOO_304970	SNOO_304970A_1	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_304970	SNOO_304970A_2	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_054940	SNOO_054940A_1	0.2447552447552455	0.1598401598401601	0.1598401598401601
SNOO_046540	SNOO_046540A_1	0.2447552447552438	0.1398601398601395	0.1398601398601395
SNOO_046540	SNOO_046540A_2	0.2447552447552438	0.1398601398601395	0.1398601398601395
SNOO_021550	SNOO_021550AB_1	0.5384615384615398	0.5274725274725256	0.5274725274725256
SNOO_444000	SNOO_444000A_1	0.4038461538461552	0.0565968371032989	0.0565968371032989
SNOO_042540	SNOO_042540A_2	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_042540	SNOO_042540A_3	0.3569347319347336	0.2447552447552438	0.2447552447552438
SNOO_071760	SNOO_071760A_1	0.1839397205857208	0.2102168235265388	0.1839397205857208
SNOO_400590	SNOO_400590A_1	0.4079254079254084	0.3729603729603725	0.3729603729603725
SNOO_400590	SNOO_400590A_2	0.4079254079254084	0.3729603729603725	0.3729603729603725
SNOO_411770	SNOO_411770A_1	0.3671328671328668	0.2097902097902099	0.2097902097902099
SNOO_410880	SNOO_410880A_1	0.3678794411714423	0.3678794411714423	0.3678794411714423
